smiles,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold,split,SMILES,pC20_normalised,pCMC_normalised,SMILES_canonical,SurfTen,MolLogP,true_composite
CCCCCCCCOCC(COCCCCCCCC)(COCC[N+](C)(C)C)COCC[N+](C)(C)C.[I-].[I-],gemini cationic,25.0,2.70114692359029,31.4,1.66e-06,1.0,40.6,3.63,7.0,train,CCCCCCCCOCC(COCCCCCCCC)(COCC[N+](C)(C)C)COCC[N+](C)(C)C,-0.3492779420080825,-0.4073027191761298,CCCCCCCCOCC(COCCCCCCCC)(COCC[N+](C)(C)C)COCC[N+](C)(C)C,469.20654,6.172600000000007,0.35418214972003653
CCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],gemini cationic,25.0,3.2518119729938,34.1,1.62e-06,1.02,37.9,3.92,4.0,train,CCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O,-0.1099985233943315,0.0844221932567218,CCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O,483.7096,7.985000000000012,0.3540213784392331
CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-],gemini cationic,25.0,2.69897000433602,36.0,5.58e-07,3.0,36.0,4.85,9.0,train,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1,0.6573458190566626,-0.4092466330505238,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1,469.33228,8.735000000000007,0.35343672522245134
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.37680000000001,,,,,,3.0,val,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,,-0.6969333444955632,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,453.49213,10.541399999999996,0.3533471471627416
CCCCCCCCCCCCCCCCN=Cc1ccc([N+](C)(CC)CC)cc1.[I-],cationic,25.0,3.13667713987954,33.0,6.14e-06,0.27,44.0,3.40769149636859,9.0,train,CCCCCCCCCCCCCCCCN=Cc1ccc([N+](C)(CC)CC)cc1,-0.5327050092557262,-0.0183892450076214,CCCCCCCCCCCCCCCCN=Cc1ccc([N+](C)(CC)CC)cc1,481.66626,8.563700000000006,0.3529197772620274
CCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.79000000000001,46.7,2.43e-06,0.7,25.3,2.91734602828485,,test,CCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCC)c2)c1,-0.9372897627831914,-0.3279599839430039,CCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCC)c2)c1,472.73367,6.014200000000006,0.3525390173311741
CCCCCCCCNC(=O)CC[N+](C)(C)CCC(=O)NCCCCCCCC.[Br-],cationic,25.0,2.52287874528034,25.0,3.39e-06,0.49,47.0,3.22042198419905,6.0,train,CCCCCCCCNC(=O)CC[N+](C)(C)CCC(=O)NCCCCCCCC,-0.6872213540695481,-0.5664900590372265,CCCCCCCCNC(=O)CC[N+](C)(C)CCC(=O)NCCCCCCCC,462.16296,4.796400000000004,0.3521986337322939
CCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(O)C[N+](C)(C)CCCCCCCC.[Br-].[Br-],gemini cationic,,2.975620985031128,52.2,,,,,8.0,train,CCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(O)C[N+](C)(C)CCCCCCCC,,,CCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(O)C[N+](C)(C)CCCCCCCC,478.1441,4.648400000000006,0.35211154452050203
CCCCCCCCCCCC[N+](C)(C)CCCN=Cc1ccccc1.[Br-],cationic,,2.552048921585083,31.4,,,,,8.0,train,CCCCCCCCCCCC[N+](C)(C)CCCN=Cc1ccccc1,,,CCCCCCCCCCCC[N+](C)(C)CCCN=Cc1ccccc1,463.72736,6.492900000000008,0.35167191063725783
CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],zwitterionic,,2.818045854568481,26.4,,,,,4.0,train,CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C,,,CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C,474.38824,4.831700000000004,0.3495156442068186
CCCCCCCCCCCC(O)NCCOCCOCCOCCO,non-ionic,25.0,3.61101121487529,,,,,,2.0,train,CCCCCCCCCCCC(O)NCCOCCOCCOCCO,,0.4051747377507803,CCCCCCCCCCCC(O)NCCOCCOCCOCCO,490.14572,2.857400000000001,0.34877609998218556
CCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCCCC3)c(O)c21.[Br-],cationic,25.0,3.0,43.0,5.25e-06,3.16,29.0,5.53,5.0,train,CCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCCCC3)c(O)c21,1.218414800633734,-0.1404372208354679,CCCCCCCCCCCCOC(=O)C[n+]1cccc2ccc(CN3CCCCC3)c(O)c21,479.58908,6.282900000000008,0.348360025574352
CCCCCCCCCCCCCCNC(=O)C([N+])CCCNC([N+])N.[Cl-].[Cl-],gemini cationic,25.0,3.15490195998574,33.0,9.7e-07,1.14,39.0,4.29856391795326,2.0,val,CCCCCCCCCCCCCCNC(=O)C([N+])CCCNC([N+])N,0.2023551117642882,-0.0021151087054665,CCCCCCCCCCCCCCNC(=O)C([N+])CCCNC([N+])N,483.0296,2.9218,0.3480926253850986
CCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],cationic,25.0,2.93181413825384,21.9,1.89e-06,0.88,49.88,3.7,5.0,train,CCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1,-0.2915208409633837,-0.2013248455950343,CCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1,477.9923,3.6110000000000015,0.3478932543100462
CCCCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.2076,35.0,1.95e-06,0.85,37.0,2.71661445848541,4.0,train,CCCCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCCCC,-1.1029136707798657,-0.8480231136279369,CCCCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCCCC,442.64816,8.15380000000001,0.34777076081841996
CCCCCCCCCCCC[N+]1(C)CCCC1=NCCc1ccccc1.[Br-],cationic,25.0,2.54211810326601,33.1,2.99e-06,0.56,38.68,3.09572014539112,,test,CCCCCCCCCCCC[N+]1(C)CCCC1=NCCc1ccccc1,-0.7901130212765382,-0.5493099753710932,CCCCCCCCCCCC[N+]1(C)CCCC1=NCCc1ccccc1,464.57043,6.788900000000008,0.34746324476166646
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,,3.118150234222412,34.8,,,,,9.0,train,CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,,,CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,482.50287,4.110100000000005,0.34702511314627066
CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,3.29929628285498,33.6,1.4e-06,1.6,38.4,4.39,3.0,train,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCCCCCC,0.2777991550486439,0.1268240455873087,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCCCCCC,485.9225,9.329600000000005,0.3468475845484165
CCCCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.85700000000002,,,,,,2.0,train,CCCCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCCCC,,-0.2681312928563018,CCCCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCCCC,476.66852,7.424000000000009,0.34491443213033807
CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.58502665202918,,,,,,5.0,train,CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-],,0.381971418593427,CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-],490.60815,5.3330000000000055,0.3438825798630913
CCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.61000000000001,52.3,2.54e-06,0.64,19.7,2.60310390323729,4.0,train,CCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCC)c2)c1,-1.1965713937670872,-0.4886937808923277,CCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCC)c2)c1,468.72183,4.0637000000000025,0.34340839505814885
CCCCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,zwitterionic,25.0,3.22184874961636,37.0,3.57e-06,0.46513699360612,35.0,,3.0,train,CCCCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,,0.0576660673550735,CCCCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,485.25946,3.576100000000002,0.3432265897212789
CCCCCCCCCCCCCCCC[N+](CC)(CC)CCO.[Br-],cationic,,2.305404663085937,38.6,,,,,1.0,train,CCCCCCCCCCCCCCCC[N+](CC)(CC)CCO,,,CCCCCCCCCCCCCCCC[N+](CC)(CC)CCO,452.42902,6.316600000000007,0.3432106164686173
CCCCCCCCCCOc1ccc(C[n+]2ccn(C)c2)cc1.[Br-],cationic,,2.258706569671631,39.0,,,,,2.0,train,CCCCCCCCCCOc1ccc(C[n+]2ccn(C)c2)cc1,,,CCCCCCCCCCOc1ccc(C[n+]2ccn(C)c2)cc1,449.40903,4.880400000000005,0.3419947663108934
CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.0605,,,,,,3.0,train,CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC,,-0.9793783443570786,CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC,429.28683,8.20080000000001,0.34196500080576936
CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)COC1OC(CO)C(O)C(O)C1O.[Cl-],cationic,25.0,6.30016227413275,35.9,2.18e-06,0.76,36.1,6.94697186361533,7.0,train,CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)COC1OC(CO)C(O)C(O)C1O,2.387560330695525,2.80649396177716,CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)COC1OC(CO)C(O)C(O)C1O,502.0269,3.008000000000003,0.3418976080845974
CCCCCCCCCCCCOOC(O)(C(O)C(O)C(O)C(O)C(O)CC)C(O)C(O)C(O)C(O)C(O)CO,non-ionic,25.0,3.48201279697492,,,,,,,test,CCCCCCCCCCCCOOC(O)(C(O)C(O)C(O)C(O)C(O)CC)C(O)C(O)C(O)C(O)C(O)CO,,0.2899835960308795,CCCCCCCCCCCCOOC(O)(C(O)C(O)C(O)C(O)C(O)CC)C(O)C(O)C(O)C(O)C(O)CO,489.75726,-2.4445999999999954,0.34085718595284387
CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,2.83893161452883,,,,,,5.0,train,CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-],,-0.2842657384203483,CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-],477.32126,3.9837000000000025,0.34010041808431174
CCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.52,54.4,2.58e-06,0.62,17.6,2.46568655572933,6.0,val,CCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCC)c2)c1,-1.3099546455572542,-0.5690606793669988,CCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCC)c2)c1,465.9138,3.283500000000002,0.3398094814972563
CCCCCCCCCCCCOOCCOCCOCCOCC,non-ionic,25.0,4.19402364928244,28.6,,,43.4,,6.0,train,CCCCCCCCCCCCOOCCOCCOCCOCC,,0.9257847502559466,CCCCCCCCCCCCOOCCOCCOCCOCC,497.14505,4.925200000000005,0.33966497544638924
CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],cationic,25.0,3.03621217265445,44.3,,0.93,28.3,,2.0,train,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C,,-0.1081009985769442,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C,482.35037,5.426900000000005,0.3394570922155671
CCCCCCCCc1ccc(OCCOCCOCCOCCOCC)cc1,non-ionic,25.0,3.82390874094432,,,,,,9.0,train,CCCCCCCCc1ccc(OCCOCCOCCOCCOCC)cc1,,0.5952848917851852,CCCCCCCCc1ccc(OCCOCCOCCOCCOCC)cc1,494.03,5.054700000000005,0.3389803769526402
CCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,sugar-based non-ionic,25.0,2.17392519729917,,3.4e-06,0.49,,3.4,7.0,train,CCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,-0.5390512740120919,-0.8780935519591798,CCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,443.51797,-0.8396999999999992,0.3386420640990421
CCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCC.[I-].[I-],gemini cationic,25.0,2.71896663275227,31.4,1.66e-06,1.0,40.6,3.72,,test,CCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCC,-0.2750188120934698,-0.3913903329864759,CCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCC,474.0352,7.6998000000000095,0.33859454193321614
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,25.0,3.48148606012211,35.5,,,36.47,,1.0,train,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,,0.2895132381734056,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,490.1415,3.920900000000005,0.3385163736932498
CCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.53000000000001,53.2,2.55e-06,0.64,18.8,2.50252378701603,,test,CCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCC)c2)c1,-1.279560192848213,-0.5601310239809163,CCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCC)c2)c1,466.7911,3.673600000000002,0.33843183927315657
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC(=O)[O-].[Na+],anionic,25.0,3.40340290437354,39.9,,,32.07,,5.0,val,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC(=O)[O-],,0.2197876709442217,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC(=O)[O-],489.10208,5.137600000000007,0.33822700031446495
CCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.49000000000001,53.9,2.56e-06,0.64,16.5,2.4466659336239,7.0,train,CCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCC)c2)c1,-1.3256485883126303,-0.5958496455252106,CCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCC)c2)c1,465.04306,3.283500000000001,0.33807329536665937
CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCC.[Na+],anionic,25.0,2.96417017474717,30.7,2.37e-06,0.7,41.3,3.75128542170143,2.0,train,CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCC,-0.2492051654872487,-0.1724320200405688,CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCC,481.1323,4.210800000000003,0.3375534157552735
CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,sugar-based non-ionic,20.0,5.03151705144607,35.6,3.76e-06,0.44,37.2,6.0,9.0,train,CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,1.6062124790767096,1.6736374971990993,CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,502.23413,1.2138,0.3373293256013792
CCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,3.79588001734408,,,,,,3.0,train,CCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F,,0.5702562075190201,CCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F,493.98688,3.542200000000002,0.3373280300266672
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCOCC1.[Na+],anionic,25.0,3.10601643278815,,,,,,2.0,train,CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCOCC1,,-0.0457681998295669,CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCOCC1,484.27686,3.5434000000000028,0.3371441273661476
CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,zwitterionic,25.0,4.7447,,,,,,6.0,train,CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,,1.4175197543727858,CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,500.9,6.845800000000008,0.3369422519681019
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCOC1OC(CO)C(O)C(O)C1O.[Cl-],cationic,25.0,5.30016227413275,51.5,1.18e-06,1.41,20.5,5.33727262535583,6.0,train,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCOC1OC(CO)C(O)C(O)C1O,1.059395165613694,1.9135284231698035,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCOC1OC(CO)C(O)C(O)C1O,502.5769,2.8669000000000024,0.33608677875824383
CCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,sugar-based non-ionic,25.0,3.60205999132796,28.5,2.31e-06,0.53,43.47,5.38399945352001,2.0,train,CCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,1.0979495389819345,0.3971816035946438,CCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,492.10428,0.9435999999999996,0.33577039964720773
CCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.81701503299642,,,,,,1.0,train,CCCCCCCCCCCC(C)OS(=O)(=O)[O-],,-0.3038364904528691,CCCCCCCCCCCC(C)OS(=O)(=O)[O-],477.86816,3.7726000000000015,0.33527532594871584
CCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.50905879464321,,,,,,4.0,train,CCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,,-0.5788307987014385,CCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,466.94318,4.273900000000004,0.3348359753812653
CCCCCCCCCC(O)OCCOCCOCCOCC,non-ionic,25.0,3.16749108729376,,,,,,8.0,train,CCCCCCCCCC(O)OCCOCCOCCOCC,,0.0091265481417359,CCCCCCCCCC(O)OCCOCCOCCOCC,485.94113,3.5318000000000023,0.33461718107368954
CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-],cationic,,2.7175774574279785,32.1,,,,,3.0,train,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1,,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1,475.14114,5.729900000000006,0.3341686630305711
CCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.1249,,,,,,3.0,train,CCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCC,,-0.9218713636707652,CCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCC,440.97614,9.7612,0.33351705536056014
CCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.17698247655395,,,,,,9.0,train,CCCCCCCCCCC(CCCC)OS(=O)(=O)[O-],,-0.8753635069427623,CCCCCCCCCCC(CCCC)OS(=O)(=O)[O-],446.10577,4.552800000000004,0.33337650521742107
CCCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,5.45593195564972,34.6,3.59e-06,0.46,37.4,6.31,5.0,train,CCCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCCOCCOCC,1.861993926560374,2.052625380724301,CCCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCCOCCOCC,502.84515,5.5487000000000055,0.3332159170061874
CCCCCCCCCCOOCCOCCOCCOCC,non-ionic,25.0,3.16698045292347,,,,,,2.0,train,CCCCCCCCCCOOCCOCCOCCOCC,,0.0086705692462386,CCCCCCCCCCOOCCOCCOCCOCC,486.29565,4.145000000000003,0.33273414828618053
CCCCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25.0,4.20100426555612,,,,,,0.0,train,CCCCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1,,0.932018200026585,CCCCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1,498.13715,6.1619000000000055,0.3320338033908967
CCCCCCCn1cc[n+](COCCOC[n+]2ccn(CCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.65000000000001,51.2,2.53e-06,0.64,20.8,2.66846227749913,1.0,train,CCCCCCCn1cc[n+](COCCOC[n+]2ccn(CCCCCCC)c2)c1,-1.1426441048191114,-0.4529751593480334,CCCCCCCn1cc[n+](COCCOC[n+]2ccn(CCCCCCC)c2)c1,473.44855,4.453800000000003,0.3319215748082276
CCCCCCCCCC[N+](C)(C)CCCCO[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.1135,,,,,,3.0,train,CCCCCCCCCC[N+](C)(C)CCCCO[N+](C)(C)CCCCCCCCCC,,-0.9320511708108888,CCCCCCCCCC[N+](C)(C)CCCCO[N+](C)(C)CCCCCCCCCC,440.64362,8.13240000000001,0.33165867706422436
CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCCC.[Na+],anionic,25.0,3.19997064075587,33.0,2.16e-06,0.77,39.0,3.97035404299788,2.0,train,CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCCC,-0.0684513298309366,0.0381296700927557,CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCCC,487.1207,4.600900000000004,0.33144461332413017
CCCCCCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCCCCCC)c12.[Br-],cationic,25.0,1.82390874094432,47.0,8.73e-07,1.9,23.0,2.22184874961636,7.0,train,CCCCCCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCCCCCC)c12,-1.5111455713598885,-1.1906461854295265,CCCCCCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCCCCCC)c12,390.3417,11.434899999999988,0.33086345821960317
COCCOCCOCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,non-ionic,25.0,3.52302353424047,,,,,,1.0,train,COCCOCCOCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,0.3266047711218961,COCCOCCOCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,491.94614,4.887800000000004,0.33073144978233426
CCCCCCCCCC1OCC(C[N+](C)(C)C)O1.[Br-],cationic,,2.1710147857666016,31.4,,,,,8.0,val,CCCCCCCCCC1OCC(C[N+](C)(C)C)O1,,,CCCCCCCCCC1OCC(C[N+](C)(C)C)O1,446.82367,3.5748000000000024,0.3304685118455225
CCCCCCCC(O)OCCOCCOCC,non-ionic,25.0,2.30980391997149,,,,,,4.0,val,CCCCCCCC(O)OCCOCCOCC,,-0.756758535182812,CCCCCCCC(O)OCCOCCOCC,457.62634,2.735000000000001,0.33018610088620126
CCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.18111458540599,40.8,1.23e-06,1.35,31.2,2.71276813745388,,test,CCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCC,-1.106087275815129,-0.8716736761361161,CCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCC,448.1068,7.43720000000001,0.3295800670689442
CCCCCCCCCCCCCCCC=CC(=O)OC(CO)COC(CO)COC(CO)COC(CO)COC(CO)COC(CO)CO,non-ionic,25.0,4.56193254954651,,,,,,6.0,train,CCCCCCCCCCCCCCCC=CC(=O)OC(CO)COC(CO)COC(CO)COC(CO)COC(CO)COC(CO)CO,,1.254314719538692,CCCCCCCCCCCCCCCC=CC(=O)OC(CO)COC(CO)COC(CO)COC(CO)COC(CO)COC(CO)CO,500.75842,1.8078000000000023,0.32898457339895004
CCCCCCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCC[n+]3cccc4cccc(OC(=O)CCCCCCCCCCCCCCCCC)c43)c12.[Br-].[Br-],gemini cationic,25.0,2.0,46.0,5.13e-07,3.24,26.0,2.65757731917779,7.0,train,CCCCCCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCC[n+]3cccc4cccc(OC(=O)CCCCCCCCCCCCCCCCC)c43)c12,-1.1516252996424394,-1.033402759442824,CCCCCCCCCCCCCCCCCC(=O)Oc1cccc2ccc[n+](CCCCCC[n+]3cccc4cccc(OC(=O)CCCCCCCCCCCCCCCCC)c43)c12,427.97144,17.16239999999997,0.3287647643465479
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.76955107862173,40.4,,,31.57,,5.0,train,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOS(=O)(=O)[O-],,0.5467453725718567,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOS(=O)(=O)[O-],495.1293,5.847900000000008,0.327521943954081
